,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,18.0,20.0,22.0,23.0,24.0,25.0,26.0,28.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,59.0
1,49.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,73.0,74.0,75.0,76.0,77.0,78.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,93.0,94.0,95.0,96.0,98.0,99.0,100.0,103.0,104.0,105.0,106.0,108.0,116.0,118.0,126.0,132.0,133.0,140.0,146.0,150.0,156.0
2,110.0,123.0,125.0,130.0,136.0,138.0,152.0,158.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,176.0,180.0,181.0,183.0,185.0,186.0,188.0,200.0,202.0,203.0,204.0,205.0,206.0,208.0,220.0,228.0,230.0,236.0,238.0,240.0,246.0,248.0,250.0,256.0,258.0,260.0,262.0,263.0,264.0,265.0,266.0,268.0,280.0
3,213.0,215.0,216.0,225.0,226.0,231.0,234.0,243.0,251.0,252.0,257.0,261.0,267.0,275.0,276.0,282.0,283.0,284.0,285.0,286.0,288.0,300.0,301.0,302.0,303.0,312.0,313.0,321.0,324.0,342.0,361.0,362.0,364.0,367.0,368.0,370.0,376.0,378.0,380.0,381.0,382.0,383.0,384.0,385.0,386.0,387.0,388.0,389.0,390.0,398.0
4,304.0,305.0,306.0,307.0,308.0,309.0,310.0,316.0,318.0,320.0,326.0,328.0,330.0,338.0,340.0,346.0,348.0,350.0,358.0,360.0,373.0,377.0,400.0,401.0,402.0,403.0,404.0,405.0,406.0,407.0,408.0,409.0,423.0,432.0,477.0,479.0,482.0,483.0,484.0,485.0,486.0,487.0,488.0,489.0,490.0,496.0,498.0,500.0,501.0,502.0
5,410.0,416.0,420.0,426.0,428.0,430.0,436.0,438.0,440.0,446.0,448.0,450.0,456.0,458.0,460.0,461.0,462.0,463.0,464.0,465.0,466.0,468.0,469.0,470.0,478.0,480.0,497.0,503.0,504.0,505.0,506.0,507.0,508.0,509.0,510.0,512.0,516.0,518.0,520.0,521.0,522.0,527.0,572.0,577.0,604.0,605.0,606.0,607.0,608.0,609.0
6,526.0,528.0,530.0,538.0,540.0,546.0,548.0,550.0,558.0,560.0,561.0,562.0,564.0,567.0,568.0,570.0,576.0,578.0,580.0,581.0,582.0,583.0,584.0,585.0,586.0,587.0,588.0,589.0,590.0,598.0,600.0,601.0,602.0,603.0,610.0,611.0,612.0,613.0,614.0,615.0,616.0,617.0,618.0,620.0,621.0,622.0,623.0,627.0,671.0,672.0
7,624.0,625.0,626.0,628.0,630.0,631.0,632.0,634.0,637.0,638.0,640.0,641.0,642.0,643.0,644.0,645.0,646.0,647.0,648.0,649.0,650.0,651.0,652.0,657.0,658.0,660.0,661.0,662.0,664.0,667.0,668.0,670.0,674.0,675.0,676.0,677.0,678.0,680.0,681.0,682.0,683.0,684.0,685.0,686.0,687.0,688.0,689.0,690.0,694.0,698.0
8,700.0,703.0,704.0,705.0,706.0,707.0,708.0,716.0,725.0,726.0,730.0,733.0,736.0,737.0,738.0,740.0,746.0,747.0,748.0,749.0,750.0,752.0,756.0,757.0,758.0,760.0,761.0,764.0,765.0,766.0,767.0,768.0,770.0,776.0,778.0,780.0,783.0,784.0,785.0,786.0,787.0,788.0,800.0,801.0,802.0,803.0,804.0,805.0,806.0,807.0
9,762.0,773.0,774.0,775.0,794.0,808.0,809.0,810.0,811.0,813.0,815.0,816.0,818.0,820.0,822.0,830.0,831.0,832.0,833.0,835.0,836.0,837.0,839.0,840.0,842.0,843.0,844.0,845.0,846.0,847.0,848.0,849.0,850.0,851.0,852.0,853.0,854.0,855.0,856.0,857.0,858.0,859.0,860.0,861.0,862.0,863.0,864.0,865.0,866.0,867.0
10,823.0,824.0,825.0,826.0,828.0,868.0,869.0,870.0,873.0,874.0,875.0,876.0,877.0,878.0,880.0,886.0,887.0,889.0,890.0,893.0,894.0,895.0,896.0,898.0,899.0,900.0,903.0,904.0,905.0,906.0,908.0,909.0,930.0,938.0,940.0,946.0,948.0,950.0,958.0,960.0,964.0,968.0,980.0,983.0,984.0,985.0,986.0,988.0,989.0,990.0
11,881.0,882.0,883.0,884.0,885.0,947.0,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
